"","experiment","value","method","replicate","Beta_SSE","test_R2","test_SSE","test_SST"
"223","r",10,"ORC_L_ALL_glmnet",3,32.1332905407226,0.745492360303694,2793263.70422589,10975166.4333495
"224","r",10,"ORC_L_ALL_glmnet",30,33.7004050643267,0.747708901438813,2769042.47213883,10975585.2978192
"225","r",10,"ORC_L_ALL_glmnet",31,32.348200912658,0.746641414284333,2797841.71856514,11043011.2745618
"226","r",10,"ORC_L_ALL_glmnet",32,31.7209774295508,0.747826630957127,2783763.9240472,11039087.650742
"227","r",10,"ORC_L_ALL_glmnet",33,31.8978956132583,0.747600186346419,2805000.00458945,11113320.4259783
"228","r",10,"ORC_L_ALL_glmnet",34,35.7006462176586,0.749448390548934,2777893.9254434,11087112.6772224
"229","r",10,"ORC_L_ALL_glmnet",35,33.2133163239813,0.746830268800233,2796023.83713513,11044068.4353727
"230","r",10,"ORC_L_ALL_glmnet",36,33.6391958722766,0.748214662592144,2737567.59929094,10872625.1793466
"231","r",10,"ORC_L_ALL_glmnet",37,32.0935862194044,0.748444662265036,2758564.72364042,10966035.3402909
"232","r",10,"ORC_L_ALL_glmnet",38,30.3225625659989,0.748238037468133,2766331.37868627,10987884.5512102
"233","r",10,"ORC_L_ALL_glmnet",39,33.7550380450773,0.749096238126779,2762027.3893235,11008313.9794417
"234","r",10,"ORC_L_ALL_glmnet",4,33.4624179891356,0.748241572202552,2771094.51182998,11006958.2816884
"235","r",10,"ORC_L_ALL_glmnet",40,31.9822456052818,0.746731195431586,2758204.56565616,10890423.5970013
"236","r",10,"ORC_L_ALL_glmnet",41,32.2325232443052,0.746887158745821,2761081.93391605,10908501.9955323
"237","r",10,"ORC_L_ALL_glmnet",42,32.5298623885809,0.748231084768419,2740407.42926855,10884613.8799458
"238","r",10,"ORC_L_ALL_glmnet",43,32.0320901908639,0.74662719213226,2739063.13835772,10810406.8522914
"239","r",10,"ORC_L_ALL_glmnet",44,33.2672882821578,0.748274219671166,2773768.91728712,11019010.1056145
"240","r",10,"ORC_L_ALL_glmnet",45,34.9101912012174,0.748386712012633,2774015.89893865,11024918.1238708
"241","r",10,"ORC_L_ALL_glmnet",46,33.1114435345284,0.746879437070461,2778325.32855152,10976292.4686799
"242","r",10,"ORC_L_ALL_glmnet",47,32.2058927047785,0.748939049049318,2760366.54598833,10994806.3828157
"243","r",10,"ORC_L_ALL_glmnet",48,32.6777087400161,0.747649890109817,2753392.8291461,10911003.091476
"244","r",10,"ORC_L_ALL_glmnet",49,32.150496760535,0.746619151785566,2771377.33992757,10937595.9527225
"245","r",10,"ORC_L_ALL_glmnet",5,33.3942851802847,0.74614399658477,2792589.48512175,11000683.2517328
"246","r",10,"ORC_L_ALL_glmnet",50,32.3795433555568,0.746439417472403,2784467.65181347,10981468.9020539
"247","r",10,"ORC_L_ALL_glmnet",6,31.9005924924424,0.74629849326214,2782994.97302486,10969564.2284869
"248","r",10,"ORC_L_ALL_glmnet",7,34.187204688306,0.747598838125737,2756444.99008062,10920888.6742517
"249","r",10,"ORC_L_ALL_glmnet",8,32.3314003620685,0.747144380739557,2775869.52202862,10978081.2075584
"250","r",10,"ORC_L_ALL_glmnet",9,35.3726298982641,0.746554667665352,2805289.46202949,11068617.5838717
"251","r",10,"ORC_L_glmnet",1,121.054312613632,0.739317922049984,2858654.49372111,10966056.8774092
"252","r",10,"ORC_L_glmnet",10,134.152296516572,0.738344507289339,2857651.91391997,10921429.1063248
"253","r",10,"ORC_L_glmnet",11,121.683047912016,0.739032896349905,2869176.72759995,10994400.0123745
"254","r",10,"ORC_L_glmnet",12,121.660188949265,0.740132277971322,2878431.7205316,11076526.5422766
"255","r",10,"ORC_L_glmnet",13,120.989984112125,0.740982078263151,2854541.3279706,11020632.506158
