"","experiment","value","method","name","mean","two_se","group"
"147","r","9","MultiLORS","test_SSE",2883179.91607992,6678.8919414541,"rMultiLORStest_SSE"
"148","r","9","MultiLORS","test_SST",10005367.8009215,18559.2096867277,"rMultiLORStest_SST"
"149","r","9","ORC_ALL_MultiLORS","Beta_SSE",54.0572962485271,0.681424839978412,"rORC_ALL_MultiLORSBeta_SSE"
"150","r","9","ORC_ALL_MultiLORS","test_R2",0.744949668468161,0.00026428722991771,"rORC_ALL_MultiLORStest_R2"
"151","r","9","ORC_ALL_MultiLORS","test_SSE",2548214.93529467,4972.33904550386,"rORC_ALL_MultiLORStest_SSE"
"152","r","9","ORC_ALL_MultiLORS","test_SST",9991063.50611005,18218.9983711395,"rORC_ALL_MultiLORStest_SST"
"153","r","9","ORC_L_ALL_glmnet","Beta_SSE",32.692842688191,0.308714701055909,"rORC_L_ALL_glmnetBeta_SSE"
"154","r","9","ORC_L_ALL_glmnet","test_R2",0.747050309137966,0.000252816083277633,"rORC_L_ALL_glmnettest_R2"
"155","r","9","ORC_L_ALL_glmnet","test_SSE",2526814.58788556,4909.88173633301,"rORC_L_ALL_glmnettest_SSE"
"156","r","9","ORC_L_ALL_glmnet","test_SST",9989430.1917487,18269.3507651688,"rORC_L_ALL_glmnettest_SST"
"157","r","9","ORC_L_glmnet","Beta_SSE",124.109119894811,1.71886582150338,"rORC_L_glmnetBeta_SSE"
"158","r","9","ORC_L_glmnet","test_R2",0.738351535525755,0.000306285389141422,"rORC_L_glmnettest_R2"
"159","r","9","ORC_L_glmnet","test_SSE",2616512.56284437,4744.99584544884,"rORC_L_glmnettest_SSE"
"160","r","9","ORC_L_glmnet","test_SST",10000194.9278002,18331.6144364168,"rORC_L_glmnettest_SST"
"161","r","10","glmnet","Beta_SSE",725.763445317595,8.4873719186916,"rglmnetBeta_SSE"
"162","r","10","glmnet","test_R2",0.671538121176117,0.000824264743052633,"rglmnettest_R2"
"163","r","10","glmnet","test_SSE",3615625.86254014,10207.0322093893,"rglmnettest_SSE"
"164","r","10","glmnet","test_SST",11007846.3940101,19543.8081533835,"rglmnettest_SST"
"165","r","10","MultiLORS","Beta_SSE",388.169740875614,5.47098802424128,"rMultiLORSBeta_SSE"
"166","r","10","MultiLORS","test_R2",0.710487181528483,0.000509472670203856,"rMultiLORStest_R2"
"167","r","10","MultiLORS","test_SSE",3186888.57234869,7129.25961559342,"rMultiLORStest_SSE"
